Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0.382,Tue Apr 10 19:33:06 +0000 2018,0.625,0.116,0.259,1,@BBCNews
0.0,Tue Apr 10 19:32:35 +0000 2018,1.0,0.0,0.0,2,@BBCNews
0.202,Tue Apr 10 19:12:04 +0000 2018,0.625,0.156,0.219,3,@BBCNews
-0.599,Tue Apr 10 19:09:50 +0000 2018,0.726,0.274,0.0,4,@BBCNews
-0.637,Tue Apr 10 19:03:58 +0000 2018,0.656,0.344,0.0,5,@BBCNews
-0.958,Tue Apr 10 18:57:12 +0000 2018,0.439,0.561,0.0,6,@BBCNews
0.0,Tue Apr 10 18:50:40 +0000 2018,1.0,0.0,0.0,7,@BBCNews
0.0,Tue Apr 10 18:45:18 +0000 2018,1.0,0.0,0.0,8,@BBCNews
-0.44,Tue Apr 10 18:39:26 +0000 2018,0.868,0.132,0.0,9,@BBCNews
0.361,Tue Apr 10 17:49:39 +0000 2018,0.783,0.0,0.217,10,@BBCNews
0.0,Tue Apr 10 17:09:18 +0000 2018,1.0,0.0,0.0,11,@BBCNews
-0.718,Tue Apr 10 17:05:43 +0000 2018,0.5,0.5,0.0,12,@BBCNews
-0.772,Tue Apr 10 16:50:36 +0000 2018,0.51,0.49,0.0,13,@BBCNews
-0.296,Tue Apr 10 16:39:49 +0000 2018,0.901,0.099,0.0,14,@BBCNews
0.625,Tue Apr 10 16:27:48 +0000 2018,0.796,0.0,0.204,15,@BBCNews
0.0,Tue Apr 10 15:53:40 +0000 2018,1.0,0.0,0.0,16,@BBCNews
0.572,Tue Apr 10 15:49:57 +0000 2018,0.81,0.0,0.19,17,@BBCNews
0.852,Tue Apr 10 15:49:37 +0000 2018,0.632,0.0,0.368,18,@BBCNews
0.612,Tue Apr 10 15:32:42 +0000 2018,0.821,0.0,0.179,19,@BBCNews
-0.226,Tue Apr 10 15:20:19 +0000 2018,0.899,0.101,0.0,20,@BBCNews
-0.718,Tue Apr 10 15:19:13 +0000 2018,0.75,0.25,0.0,21,@BBCNews
0.0,Tue Apr 10 14:39:18 +0000 2018,1.0,0.0,0.0,22,@BBCNews
-0.649,Tue Apr 10 14:19:21 +0000 2018,0.534,0.359,0.107,23,@BBCNews
-0.296,Tue Apr 10 14:11:27 +0000 2018,0.879,0.121,0.0,24,@BBCNews
0.0,Tue Apr 10 13:56:45 +0000 2018,1.0,0.0,0.0,25,@BBCNews
-0.527,Tue Apr 10 13:56:45 +0000 2018,0.702,0.298,0.0,26,@BBCNews
0.758,Tue Apr 10 13:48:46 +0000 2018,0.735,0.0,0.265,27,@BBCNews
-0.422,Tue Apr 10 13:44:00 +0000 2018,0.714,0.286,0.0,28,@BBCNews
0.0,Tue Apr 10 13:17:55 +0000 2018,1.0,0.0,0.0,29,@BBCNews
0.586,Tue Apr 10 12:39:45 +0000 2018,0.853,0.0,0.147,30,@BBCNews
-0.599,Tue Apr 10 12:35:29 +0000 2018,0.593,0.311,0.096,31,@BBCNews
0.494,Tue Apr 10 12:13:33 +0000 2018,0.686,0.0,0.314,32,@BBCNews
-0.599,Tue Apr 10 12:13:33 +0000 2018,0.719,0.281,0.0,33,@BBCNews
-0.557,Tue Apr 10 12:09:49 +0000 2018,0.854,0.146,0.0,34,@BBCNews
0.103,Tue Apr 10 11:59:18 +0000 2018,0.811,0.086,0.104,35,@BBCNews
0.0,Tue Apr 10 11:34:03 +0000 2018,1.0,0.0,0.0,36,@BBCNews
0.0,Tue Apr 10 11:25:41 +0000 2018,1.0,0.0,0.0,37,@BBCNews
0.817,Tue Apr 10 10:00:41 +0000 2018,0.623,0.0,0.377,38,@BBCNews
-0.296,Tue Apr 10 09:59:02 +0000 2018,0.855,0.145,0.0,39,@BBCNews
0.0,Tue Apr 10 09:40:41 +0000 2018,1.0,0.0,0.0,40,@BBCNews
-0.422,Tue Apr 10 01:54:42 +0000 2018,0.781,0.219,0.0,41,@BBCNews
-0.34,Tue Apr 10 01:04:39 +0000 2018,0.769,0.231,0.0,42,@BBCNews
0.0,Tue Apr 10 00:55:45 +0000 2018,1.0,0.0,0.0,43,@BBCNews
0.077,Mon Apr 09 23:53:09 +0000 2018,0.843,0.0,0.157,44,@BBCNews
0.743,Mon Apr 09 23:44:05 +0000 2018,0.488,0.0,0.512,45,@BBCNews
0.818,Mon Apr 09 22:39:28 +0000 2018,0.452,0.0,0.548,46,@BBCNews
-0.852,Mon Apr 09 21:43:45 +0000 2018,0.52,0.48,0.0,47,@BBCNews
-0.361,Mon Apr 09 21:40:28 +0000 2018,0.615,0.263,0.123,48,@BBCNews
0.0,Mon Apr 09 21:40:22 +0000 2018,1.0,0.0,0.0,49,@BBCNews
-0.382,Mon Apr 09 21:40:13 +0000 2018,0.652,0.245,0.103,50,@BBCNews
-0.649,Mon Apr 09 21:40:07 +0000 2018,0.619,0.381,0.0,51,@BBCNews
-0.296,Mon Apr 09 21:24:38 +0000 2018,0.833,0.167,0.0,52,@BBCNews
-0.66,Mon Apr 09 21:19:39 +0000 2018,0.714,0.286,0.0,53,@BBCNews
-0.402,Mon Apr 09 21:19:35 +0000 2018,0.787,0.213,0.0,54,@BBCNews
0.0,Mon Apr 09 21:07:56 +0000 2018,1.0,0.0,0.0,55,@BBCNews
-0.318,Mon Apr 09 21:07:48 +0000 2018,0.859,0.141,0.0,56,@BBCNews
0.0,Mon Apr 09 20:34:30 +0000 2018,1.0,0.0,0.0,57,@BBCNews
-0.66,Mon Apr 09 20:33:33 +0000 2018,0.526,0.474,0.0,58,@BBCNews
-0.784,Mon Apr 09 20:08:24 +0000 2018,0.655,0.345,0.0,59,@BBCNews
-0.273,Mon Apr 09 18:44:47 +0000 2018,0.741,0.259,0.0,60,@BBCNews
0.0,Mon Apr 09 06:25:35 +0000 2018,1.0,0.0,0.0,61,@BBCNews
0.361,Mon Apr 09 03:52:05 +0000 2018,0.696,0.0,0.304,62,@BBCNews
0.494,Mon Apr 09 02:29:28 +0000 2018,0.738,0.0,0.262,63,@BBCNews
0.0,Mon Apr 09 02:26:43 +0000 2018,1.0,0.0,0.0,64,@BBCNews
-0.743,Mon Apr 09 02:26:43 +0000 2018,0.559,0.441,0.0,65,@BBCNews
-0.382,Sun Apr 08 23:44:27 +0000 2018,0.556,0.272,0.173,66,@BBCNews
-0.772,Sun Apr 08 18:48:06 +0000 2018,0.511,0.489,0.0,67,@BBCNews
0.7,Sun Apr 08 18:20:16 +0000 2018,0.746,0.0,0.254,68,@BBCNews
-0.872,Sun Apr 08 18:11:22 +0000 2018,0.447,0.553,0.0,69,@BBCNews
0.0,Sun Apr 08 15:51:58 +0000 2018,1.0,0.0,0.0,70,@BBCNews
-0.459,Sun Apr 08 15:46:10 +0000 2018,0.769,0.231,0.0,71,@BBCNews
-0.511,Sun Apr 08 15:19:02 +0000 2018,0.677,0.323,0.0,72,@BBCNews
0.0,Sun Apr 08 14:36:51 +0000 2018,1.0,0.0,0.0,73,@BBCNews
0.7,Sun Apr 08 13:00:04 +0000 2018,0.746,0.0,0.254,74,@BBCNews
-0.153,Sun Apr 08 12:13:48 +0000 2018,0.873,0.127,0.0,75,@BBCNews
-0.402,Sun Apr 08 10:58:31 +0000 2018,0.769,0.231,0.0,76,@BBCNews
0.625,Sun Apr 08 10:53:09 +0000 2018,0.579,0.0,0.421,77,@BBCNews
0.0,Sun Apr 08 10:53:07 +0000 2018,1.0,0.0,0.0,78,@BBCNews
-0.026,Sun Apr 08 10:41:44 +0000 2018,0.551,0.228,0.22,79,@BBCNews
0.0,Sun Apr 08 10:21:22 +0000 2018,1.0,0.0,0.0,80,@BBCNews
0.0,Fri Apr 06 21:03:01 +0000 2018,1.0,0.0,0.0,81,@BBCNews
-0.66,Fri Apr 06 21:02:54 +0000 2018,0.714,0.286,0.0,82,@BBCNews
-0.827,Fri Apr 06 20:54:10 +0000 2018,0.58,0.42,0.0,83,@BBCNews
